Id,SalePrice
1461,123331.12798862706
1462,156733.5491572281
1463,180424.65239110144
1464,183573.98383491553
1465,202288.65075792425
1466,176035.1201160457
1467,178477.4540688028
1468,165751.57097138368
1469,191132.5162771171
1470,122061.66143528555
1471,196664.862153872
1472,94178.0784367745
1473,94228.11933208852
1474,150821.169330977
1475,130361.61833937868
1476,378349.1912474337
1477,252100.67013301488
1478,291284.4247635574
1479,268781.93326845265
1480,425604.62135265395
1481,339551.22175439505
1482,206135.68484362782
1483,162070.42124082372
1484,165008.5548458534
1485,169679.04349619927
1486,191197.60100371335
1487,329725.06880781706
1488,243836.15087401145
1489,198961.84444434813
1490,208408.68217671054
1491,193181.2996360693
1492,89450.68909367165
1493,179208.63937185626
1494,278129.2485335487
1495,304112.8315722173
1496,221507.4673323348
1497,182498.70954581432
1498,159045.60521229185
1499,155340.7009965718
1500,140313.90765301662
1501,165296.62728072604
1502,142139.54083935256
1503,296645.36571001855
1504,244002.47455186816
1505,224242.11312017142
1506,190571.3750650078
1507,247819.2077896363
1508,196094.21102897177
1509,164507.79278118006
1510,148621.86809976716
1511,146412.74195884904
1512,173457.39417223373
1513,135435.27630788877
1514,160716.10853131692
1515,217788.35376102335
1516,159602.6323524388
1517,161608.78096897685
1518,145153.82654352894
1519,218142.97855735917
1520,134504.26157851677
1521,138935.60558376633
1522,175807.7881037281
1523,112708.10633901888
1524,125362.12474055855
1525,127556.42151794754
1526,122092.16414847475
1527,105341.46822841314
1528,136884.4232844578
1529,147980.05172815418
1530,164718.9422772301
1531,103829.71195611799
1532,105282.11167513148
1533,136295.50384547762
1534,121420.19853036183
1535,150943.76674661157
1536,107261.00304260821
1537,65614.23736020454
1538,161778.55961700674
1539,186616.43996295487
1540,79167.2970011482
1541,144272.63385478937
1542,136168.05066636592
1543,212200.62598905928
1544,78462.03343216097
1545,107927.35518098706
1546,124112.34510306364
1547,124270.57980173182
1548,135103.99386648164
1549,114790.66295398408
1550,136182.5958668963
1551,120425.89648325254
1552,127592.43447879802
1553,147969.60879274967
1554,110824.81647762594
1555,166021.93965336026
1556,87428.05595622315
1557,114675.55420449791
1558,91001.56735030194
1559,84022.19024033606
1560,134744.60538243645
1561,131906.3423718898
1562,129701.76871710554
1563,124366.25790810079
1564,155180.78634246998
1565,150972.99186134146
1566,234002.08112696453
1567,72181.54557507615
1568,211844.75135102464
